active_audience,country,definition,engagement_ratio,interactions,timeframe,type,unique_authors
2175400,united states,business development,1,45355700,28days,functions,2175400
2036000,united states,sales,1,42168600,28days,functions,2036000
1709800,united states,operations,1,24049700,28days,functions,1709800
1191100,united states,engineering,1,19877600,28days,functions,1191100
1167300,united states,entrepreneurship,1,23028100,28days,functions,1167300
1122600,united states,information technology,1,17645300,28days,functions,1122600
1054100,united states,education,1,14795000,28days,functions,1054100
940300,united states,finance,1,16450000,28days,functions,940300
717100,united states,community and social services,1,10104500,28days,functions,717100
678900,united states,arts and design,1,8810600,28days,functions,678900
652100,united states,program and project management,1,10399700,28days,functions,652100
651300,united states,healthcare services,1,7462300,28days,functions,651300
612100,united states,human resources,1,16459400,28days,functions,612100
592000,united states,marketing,1,12795900,28days,functions,592000
565300,united states,media and communication,1,10126500,28days,functions,565300
536800,united states,administrative,1,5795100,28days,functions,536800
513700,united states,research,1,7246900,28days,functions,513700
478800,united states,consulting,1,10326800,28days,functions,478800
370600,united states,support,1,4866500,28days,functions,370600
367900,united states,accounting,1,4733300,28days,functions,367900
304200,united states,real estate,1,4448600,28days,functions,304200
282100,united states,legal,1,4197800,28days,functions,282100
268700,united states,military and protective services,1,4553200,28days,functions,268700
199600,united states,quality assurance,1,2546000,28days,functions,199600
173000,united states,product management,1,3831300,28days,functions,173000
104500,united states,purchasing,1,1538300,28days,functions,104500
