active_audience,country,definition,engagement_ratio,interactions,timeframe,type,unique_authors
2049300,united states,high-tech,1,47024000,28days,sectors,2049300
1926200,united states,finance,1,34667700,28days,sectors,1926200
1489000,united states,medical,1,21614200,28days,sectors,1489000
1249800,united states,manufacturing,1,20060400,28days,sectors,1249800
1145800,united states,educational,1,16014800,28days,sectors,1145800
1054600,united states,consumer,1,15833800,28days,sectors,1054600
971400,united states,corporate,1,24484200,28days,sectors,971400
691500,united states,recreational,1,11390600,28days,sectors,691500
561800,united states,construction,1,8212600,28days,sectors,561800
469900,united states,government,1,6825700,28days,sectors,469900
344700,united states,non-profit,1,6407700,28days,sectors,344700
284900,united states,transportation,1,4684000,28days,sectors,284900
264400,united states,media,1,4552800,28days,sectors,264400
238400,united states,service,1,3743000,28days,sectors,238400
230100,united states,unknown,1,3178700,28days,sectors,230100
223400,united states,legal,1,3278800,28days,sectors,223400
173000,united states,arts,1,2608900,28days,sectors,173000
25100,united states,agriculture,1,348600,28days,sectors,25100
